"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,4,"undefined","undefined"
"2","undefined","undefined","FAM157C&LOC100132062#FAM157C&LOC100132287",1,1,"undefined","undefined"
"3","undefined","undefined","LOC100288069&PSMA3#LOC100288069&PSMA3-AS1",1,1,"undefined","undefined"
"4","undefined","undefined","FAM87B&LINC00115&undefined#FAM87B&LINC01128&undefined",1,1,"undefined","undefined"
"5","NM_001127229&NM_000344_2","AURKAIP1&SMN1","AURKAIP1&SMN1#AURKAIP1&SMN2",0.166666666666667,0.166666666666667,"36.8&23.83","36.8&28.19"
"6","NM_001127229&NM_017411_1","AURKAIP1&SMN2","AURKAIP1&SMN1#AURKAIP1&SMN2",0.166666666666667,0.166666666666667,"36.8&23.83","36.8&0.38"
"7","NM_001127230&NM_000344_2","AURKAIP1&SMN1","AURKAIP1&SMN1#AURKAIP1&SMN2",0.166666666666667,0.166666666666667,"3.94&23.83","36.8&28.19"
"8","NM_001127230&NM_017411_1","AURKAIP1&SMN2","AURKAIP1&SMN1#AURKAIP1&SMN2",0.166666666666667,0.166666666666667,"3.94&23.83","36.8&0.38"
"9","NM_017900&NM_000344_2","AURKAIP1&SMN1","AURKAIP1&SMN1#AURKAIP1&SMN2",0.166666666666667,0.166666666666667,"281.26&23.83","36.8&28.19"
"10","NM_017900&NM_017411_1","AURKAIP1&SMN2","AURKAIP1&SMN1#AURKAIP1&SMN2",0.166666666666667,0.166666666666667,"281.26&23.83","36.8&0.38"
"11","undefined","undefined","AURKAIP1&SMN1#AURKAIP1&SMN2",0,0,"undefined","undefined"
"12","NM_001127229&NM_001037808","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"36.8&2.67","36.8&2.67"
"13","NM_001127229&NM_001099661_1","AURKAIP1&EIF3CL","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"36.8&18.22","36.8&36.54"
"14","NM_001127229&NM_001199142_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"36.8&0","36.8&2.67"
"15","NM_001127229&NM_001267574_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"36.8&4.74","36.8&2.67"
"16","NM_001127229&NM_001286478_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"36.8&0","36.8&2.67"
"17","NM_001127229&NM_003752_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"36.8&83.37","36.8&2.67"
"18","NM_001127230&NM_001037808","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"3.94&2.67","36.8&2.67"
"19","NM_001127230&NM_001099661_1","AURKAIP1&EIF3CL","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"3.94&18.22","36.8&36.54"
"20","NM_001127230&NM_001199142_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"3.94&0","36.8&2.67"
"21","NM_001127230&NM_001267574_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"3.94&4.74","36.8&2.67"
"22","NM_001127230&NM_001286478_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"3.94&0","36.8&2.67"
"23","NM_001127230&NM_003752_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"3.94&83.37","36.8&2.67"
"24","NM_017900&NM_001037808","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"281.26&2.67","36.8&2.67"
"25","NM_017900&NM_001099661_1","AURKAIP1&EIF3CL","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"281.26&18.22","36.8&36.54"
"26","NM_017900&NM_001199142_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"281.26&0","36.8&2.67"
"27","NM_017900&NM_001267574_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"281.26&4.74","36.8&2.67"
"28","NM_017900&NM_001286478_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"281.26&0","36.8&2.67"
"29","NM_017900&NM_003752_1","AURKAIP1&EIF3C","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0.0555555555555556,0.0555555555555556,"281.26&83.37","36.8&2.67"
"30","undefined","undefined","AURKAIP1&EIF3C#AURKAIP1&EIF3CL",0,0,"undefined","undefined"
"31","NM_001039577&NM_004640_7","CCNL2&DDX39B","ATP6V1G2-DDX39B&CCNL2#CCNL2&DDX39B",0.25,0.25,"2&0","2&0"
"32","NM_001039577&NM_080598_5","CCNL2&DDX39B","ATP6V1G2-DDX39B&CCNL2#CCNL2&DDX39B",0.25,0.25,"2&0","2&0"
"33","NM_001039577&NR_037852_1","CCNL2&DDX39B","ATP6V1G2-DDX39B&CCNL2#CCNL2&DDX39B",0.25,0.25,"2&0","2&0"
"34","NR_037853&NM_001039577","ATP6V1G2-DDX39B&CCNL2","ATP6V1G2-DDX39B&CCNL2#CCNL2&DDX39B",0.25,0.25,"150&2","150&2"
"35","undefined","undefined","ATP6V1G2-DDX39B&CCNL2#CCNL2&DDX39B",0,0,"undefined","undefined"
"36","undefined","undefined","CDK11B&LOC100190986#CDK11B&SMG1P3",1,1,"undefined","undefined"
"37","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,4,"undefined","undefined"
"38","undefined","undefined","MMP23A&SLC35E2#SLC35E2&SLC35E2B",1,3,"undefined","undefined"
"39","NM_005755&NM_001033581","EBI3&PRKCZ","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0","230&0"
"40","NM_005755&NM_001033582","EBI3&PRKCZ","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0","230&0"
"41","NM_005755&NM_001146310","EBI3&FAAP20","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0.67","230&0.67"
"42","NM_005755&NM_001242874","EBI3&PRKCZ","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0","230&0"
"43","NM_005755&NM_001256945","EBI3&FAAP20","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0.67","230&0.67"
"44","NM_005755&NM_001282671","EBI3&FAAP20","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0","230&0.67"
"45","NM_005755&NM_001282672","EBI3&FAAP20","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0","230&0.67"
"46","NM_005755&NM_001282673","EBI3&FAAP20","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0.67","230&0.67"
"47","NM_005755&NM_002744","EBI3&PRKCZ","EBI3&FAAP20#EBI3&PRKCZ",0.111111111111111,0.111111111111111,"230&0","230&0"
"48","undefined","undefined","EBI3&FAAP20#EBI3&PRKCZ",0,0,"undefined","undefined"
"49","NM_001199322&NM_020710","BLOC1S5&LRRC47","BLOC1S5&LRRC47#EEF1E1-BLOC1S5&LRRC47",0.25,0.25,"0&19","0&19"
"50","NM_001199323&NM_020710","BLOC1S5&LRRC47","BLOC1S5&LRRC47#EEF1E1-BLOC1S5&LRRC47",0.25,0.25,"0&19","0&19"
"51","NM_201280&NM_020710","BLOC1S5&LRRC47","BLOC1S5&LRRC47#EEF1E1-BLOC1S5&LRRC47",0.25,0.25,"33&19","0&19"
"52","NR_037618&NM_020710","EEF1E1-BLOC1S5&LRRC47","BLOC1S5&LRRC47#EEF1E1-BLOC1S5&LRRC47",0.25,0.25,"0&19","0&19"
"53","undefined","undefined","BLOC1S5&LRRC47#EEF1E1-BLOC1S5&LRRC47",0,0,"undefined","undefined"
"54","undefined","undefined","C21orf140&LRRC47#C21orf33&LRRC47#CBS&LRRC47#CRYAA&LRRC47#ICOSLG&LRRC47#LINC00313&LRRC47#LINC00319&LRRC47#LRRC47&PWP2#LRRC47&SIK1#LRRC47&SMIM11#LRRC47&U2AF1",1,1,"undefined","undefined"
"55","NM_001199860&NM_001145549","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"56","NM_001199860&NM_030810","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&18","0&0"
"57","NM_001199861&NM_001145549","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"58","NM_001199861&NM_030810","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&18","0&0"
"59","NM_001199862&NM_001145549","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"60","NM_001199862&NM_030810","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&18","0&0"
"61","NM_001199863&NM_001145549","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"62","NM_001199863&NM_030810","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&18","0&0"
"63","NM_003636&NM_001145549","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"10&0","0&0"
"64","NM_003636&NM_030810","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"10&18","0&0"
"65","NM_172130&NM_001145549","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"15&0","0&0"
"66","NM_172130&NM_030810","KCNAB2&TXNDC5","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"15&18","0&0"
"67","NR_037616&NM_001199860","BLOC1S5-TXNDC5&KCNAB2","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"68","NR_037616&NM_001199861","BLOC1S5-TXNDC5&KCNAB2","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"69","NR_037616&NM_001199862","BLOC1S5-TXNDC5&KCNAB2","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"70","NR_037616&NM_001199863","BLOC1S5-TXNDC5&KCNAB2","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&0","0&0"
"71","NR_037616&NM_003636","BLOC1S5-TXNDC5&KCNAB2","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&10","0&0"
"72","NR_037616&NM_172130","BLOC1S5-TXNDC5&KCNAB2","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0.0555555555555556,0.0555555555555556,"0&15","0&0"
"73","undefined","undefined","BLOC1S5-TXNDC5&KCNAB2#KCNAB2&TXNDC5",0,0,"undefined","undefined"
"74","undefined","undefined","ACOT7&FAM231D&RPL22#ACOT7&LOC388692&RPL22",1,1,"undefined","undefined"
"75","undefined","undefined","ABCA12&RPL22#LOC101928103&RPL22",1,1,"undefined","undefined"
"76","undefined","undefined","KPNA1&RPL22#LOC102723582&RPL22",1,1,"undefined","undefined"
"77","NM_000858&NM_138350","GUK1&THAP3","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"52.05&0","52.05&15"
"78","NM_001159390&NM_138350","GUK1&THAP3","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"240.67&0","52.05&15"
"79","NM_001159391&NM_138350","GUK1&THAP3","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"0&0","52.05&15"
"80","NM_001242839&NM_138350","GUK1&THAP3","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"0&0","52.05&15"
"81","NM_018198&NM_000858","DNAJC11&GUK1","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"23&52.05","23&52.05"
"82","NM_018198&NM_001159390","DNAJC11&GUK1","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"23&240.67","23&52.05"
"83","NM_018198&NM_001159391","DNAJC11&GUK1","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"23&0","23&52.05"
"84","NM_018198&NM_001242839","DNAJC11&GUK1","DNAJC11&GUK1#GUK1&THAP3",0.125,0.125,"23&0","23&52.05"
"85","undefined","undefined","DNAJC11&GUK1#GUK1&THAP3",0,0,"undefined","undefined"
"86","NM_018198&NM_198976&NM_001270940","DNAJC11&NELFCD&XPO6","DNAJC11&NELFCD&XPO6#NELFCD&THAP3&XPO6",0.25,0.25,"23&67&0.03","23&67&0.03"
"87","NM_018198&NM_198976&NM_015171","DNAJC11&NELFCD&XPO6","DNAJC11&NELFCD&XPO6#NELFCD&THAP3&XPO6",0.25,0.25,"23&67&27.97","23&67&0.03"
"88","NM_198976&NM_138350&NM_001270940","NELFCD&THAP3&XPO6","DNAJC11&NELFCD&XPO6#NELFCD&THAP3&XPO6",0.25,0.25,"67&0&0.03","67&15&0.03"
"89","NM_198976&NM_138350&NM_015171","NELFCD&THAP3&XPO6","DNAJC11&NELFCD&XPO6#NELFCD&THAP3&XPO6",0.25,0.25,"67&0&27.97","67&15&0.03"
"90","undefined","undefined","DNAJC11&NELFCD&XPO6#NELFCD&THAP3&XPO6",0,0,"undefined","undefined"
"91","undefined","undefined","BOLA2&ENO1&undefined#BOLA2B&ENO1&undefined#ENO1&LOC388242&undefined#ENO1&LOC606724&undefined#ENO1&LOC613038&undefined#ENO1&SLX1A&undefined#ENO1&SLX1A-SULT1A3&undefined#ENO1&SLX1B&undefined#ENO1&SLX1B-SULT1A4&undefined#ENO1&SMG1P2&undefined#ENO1&SULT1A3&undefined#ENO1&SULT1A4&undefined",1,1,"undefined","undefined"
"92","NM_001201483&NM_001164165","ENO1&GPR75-ASB3","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"3.4&0","3.4&0"
"93","NM_001201965&NM_001201483","ASB3&ENO1","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"0&3.4","0&3.4"
"94","NM_001201965&NM_001428","ASB3&ENO1","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"0&3317.6","0&3.4"
"95","NM_001428&NM_001164165","ENO1&GPR75-ASB3","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"3317.6&0","3.4&0"
"96","NM_016115&NM_001201483","ASB3&ENO1","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"41.04&3.4","0&3.4"
"97","NM_016115&NM_001428","ASB3&ENO1","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"41.04&3317.6","0&3.4"
"98","NM_145863&NM_001201483","ASB3&ENO1","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"1.95&3.4","0&3.4"
"99","NM_145863&NM_001428","ASB3&ENO1","ASB3&ENO1#ENO1&GPR75-ASB3",0.125,0.125,"1.95&3317.6","0&3.4"
"100","undefined","undefined","ASB3&ENO1#ENO1&GPR75-ASB3",0,0,"undefined","undefined"
"101","NM_001201483&NM_001032288","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&390.31","3.4&390.31"
"102","NM_001201483&NM_001257393","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"103","NM_001201483&NM_001257394","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&1.14","3.4&390.31"
"104","NM_001201483&NM_001257395","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0.02","3.4&390.31"
"105","NM_001201483&NM_001257396","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&2.24","3.4&390.31"
"106","NM_001201483&NM_001257397","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&1.63","3.4&390.31"
"107","NM_001201483&NM_001257398","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"108","NM_001201483&NM_001257399","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"109","NM_001201483&NM_001282575","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"110","NM_001201483&NM_001282576","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"111","NM_001201483&NM_001282577","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"112","NM_001201483&NM_001282578","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&3.43","3.4&390.31"
"113","NM_001201483&NM_001282579","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"114","NM_001201483&NM_021988","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&1.63","3.4&390.31"
"115","NM_001201483&NM_022442","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"116","NM_001201483&NM_199144","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&390.31"
"117","NM_001201483&NM_199203","ENO1&TMEM189-UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&0","3.4&0"
"118","NM_001201483&NR_047554","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3.4&36.61","3.4&390.31"
"119","NM_001428&NM_001032288","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&390.31","3.4&390.31"
"120","NM_001428&NM_001257393","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"121","NM_001428&NM_001257394","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&1.14","3.4&390.31"
"122","NM_001428&NM_001257395","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0.02","3.4&390.31"
"123","NM_001428&NM_001257396","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&2.24","3.4&390.31"
"124","NM_001428&NM_001257397","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&1.63","3.4&390.31"
"125","NM_001428&NM_001257398","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"126","NM_001428&NM_001257399","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"127","NM_001428&NM_001282575","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"128","NM_001428&NM_001282576","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"129","NM_001428&NM_001282577","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"130","NM_001428&NM_001282578","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&3.43","3.4&390.31"
"131","NM_001428&NM_001282579","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"132","NM_001428&NM_021988","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&1.63","3.4&390.31"
"133","NM_001428&NM_022442","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"134","NM_001428&NM_199144","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&390.31"
"135","NM_001428&NM_199203","ENO1&TMEM189-UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&0","3.4&0"
"136","NM_001428&NR_047554","ENO1&UBE2V1","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0.0277777777777778,0.0277777777777778,"3317.6&36.61","3.4&390.31"
"137","undefined","undefined","ENO1&TMEM189-UBE2V1#ENO1&UBE2V1",0,0,"undefined","undefined"
"138","NM_001428&NM_003097","ENO1&SNRPN","ENO1&SNRPN#ENO1&SNURF",0.166666666666667,0.166666666666667,"3317.6&46.5","3.4&46.5"
"139","NM_001428&NM_005678","ENO1&SNURF","ENO1&SNRPN#ENO1&SNURF",0.166666666666667,0.166666666666667,"3317.6&46.5","3.4&46.5"
"140","NM_001428&NM_022805","ENO1&SNRPN","ENO1&SNRPN#ENO1&SNURF",0.166666666666667,0.166666666666667,"3317.6&0","3.4&46.5"
"141","NM_001428&NM_022806","ENO1&SNRPN","ENO1&SNRPN#ENO1&SNURF",0.166666666666667,0.166666666666667,"3317.6&0","3.4&46.5"
"142","NM_001428&NM_022807","ENO1&SNRPN","ENO1&SNRPN#ENO1&SNURF",0.166666666666667,0.166666666666667,"3317.6&0","3.4&46.5"
"143","NM_001428&NM_022808","ENO1&SNRPN","ENO1&SNRPN#ENO1&SNURF",0.166666666666667,0.166666666666667,"3317.6&0","3.4&46.5"
"144","undefined","undefined","ENO1&SNRPN#ENO1&SNURF",0,0,"undefined","undefined"
"145","NM_001428&NM_001291694","ENO1&NR2C2","ENO1&MRPS25#ENO1&NR2C2",0.333333333333333,0.333333333333333,"3317.6&1.51","3.4&1.51"
"146","NM_001428&NM_003298","ENO1&NR2C2","ENO1&MRPS25#ENO1&NR2C2",0.333333333333333,0.333333333333333,"3317.6&1.51","3.4&1.51"
"147","NM_001428&NM_022497","ENO1&MRPS25","ENO1&MRPS25#ENO1&NR2C2",0.333333333333333,0.333333333333333,"3317.6&213.97","3.4&213.97"
"148","undefined","undefined","ENO1&MRPS25#ENO1&NR2C2",0,0,"undefined","undefined"
"149","undefined","undefined","ENO1&MIR4435-1#ENO1&MIR4435-2#ENO1&MIR4771-1#ENO1&MIR4771-2",1,1,"undefined","undefined"
"150","NM_000873&NM_001304451","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&0","0&0"
"151","NM_000873&NM_001304452","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&0","0&0"
"152","NM_000873&NM_002631","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&139","0&0"
"153","NM_001099786&NM_001304451","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&0","0&0"
"154","NM_001099786&NM_001304452","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&0","0&0"
"155","NM_001099786&NM_002631","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&139","0&0"
"156","NM_001099787&NM_001304451","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"1.15&0","0&0"
"157","NM_001099787&NM_001304452","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"1.15&0","0&0"
"158","NM_001099787&NM_002631","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"1.15&139","0&0"
"159","NM_001099788&NM_001304451","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"5.77&0","0&0"
"160","NM_001099788&NM_001304452","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"5.77&0","0&0"
"161","NM_001099788&NM_002631","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"5.77&139","0&0"
"162","NM_001099789&NM_001304451","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"75.07&0","0&0"
"163","NM_001099789&NM_001304452","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"75.07&0","0&0"
"164","NM_001099789&NM_002631","ICAM2&PGD","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"75.07&139","0&0"
"165","NM_001304451&NM_001164257","PGD&PRR29","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&0","0&0"
"166","NM_001304451&NM_001191029","PGD&PRR29","ICAM2&PGD#PGD&PRR29",0.037037037037037,0.037037037037037,"0&0","0&0"
